name,category,address,city,postal_code,province,phone,website,email,latitude,longitude,source,place_id
Burn's Vision Centre,optician,,,,Nova Scotia,,,,45.6148058,-61.3495965,OpenStreetMap,osm/node/5548675782
Burns Vision,optician,,,,Nova Scotia,,,,46.1005993,-60.7503849,OpenStreetMap,osm/node/10940665417
Cape Vision Centre,optician,,,,Nova Scotia,,,,46.1360478,-60.1939169,OpenStreetMap,osm/node/10942478770
Coastal Vision Clinic,optometry,,,,Nova Scotia,,,,45.6561074,-60.8761253,OpenStreetMap,osm/way/579333591
Dr. Kelly D. Bowes & Associates Optometrists,optician,,,,Nova Scotia,,,,46.3939064,-63.7678696,OpenStreetMap,osm/way/749519886
Eye Care,optician,,,,Nova Scotia,,,,44.7452102,-65.5190029,OpenStreetMap,osm/node/6223592536
Eyes On Bedford,optician,,,,Nova Scotia,+1 902-835-2100,http://www.eyesonoptometrygroup.com/,,44.7320965,-63.6551258,OpenStreetMap,osm/node/11090680352
FYIdoctors,optometry,,,,Nova Scotia,,,,45.8114506,-64.2015433,OpenStreetMap,osm/way/239783922
FYidoctors,optometry,,,,Nova Scotia,+1-902-457-2224,https://fyidoctors.com/,halifax.lacewooddrive@fyidoctors.com,44.6644285,-63.6586406,OpenStreetMap,osm/node/815496279
FYidoctors,optician,,,,Nova Scotia,,,,45.9314748,-65.1761193,OpenStreetMap,osm/node/6810280090
FYidoctors,optician,,,,Nova Scotia,,,,47.0296212,-65.4931167,OpenStreetMap,osm/node/11248197519
Hakim Optical,optician,,,,Nova Scotia,,,,45.3117156,-66.0175235,OpenStreetMap,osm/node/1894639911
Island Eye Care,optometry,,,,Nova Scotia,,,,46.1427526,-60.1709221,OpenStreetMap,osm/way/584909737
Island Optical & Eyecare,optician,207 Queen Street,,,Nova Scotia,,https://www.islandopticaleyecare.com/,,46.2355731,-63.129819,OpenStreetMap,osm/node/7218718199
Kerr Optical,optician,,,,Nova Scotia,,,,45.2542094,-66.0920713,OpenStreetMap,osm/node/6698157759
Miller Optometry,optometry,,,,Nova Scotia,,,,44.6542632,-63.6031999,OpenStreetMap,osm/node/11695489211
Miller Optometry,optometry,,,,Nova Scotia,,,,44.3998329,-64.5362835,OpenStreetMap,osm/node/13041672321
Ocean Optometry,optician,,,,Nova Scotia,,,,44.6449478,-63.574083,OpenStreetMap,osm/node/5863968670
Optical,optician,,,,Nova Scotia,,,,46.0937636,-64.7679626,OpenStreetMap,osm/node/6343426128
Pearlvision,optician,,,,Nova Scotia,,,,46.0962261,-64.7621805,OpenStreetMap,osm/node/5143954522
Reid Optometry,optometry,6 Inglis Place,,,Nova Scotia,+1 902-895-0776,https://www.reidoptometry.com/,reidoptometry@gmail.com,45.3644824,-63.2766954,OpenStreetMap,osm/node/11360901545
Summerside Vision Clinic,optician,,,,Nova Scotia,,,,46.4089978,-63.7882923,OpenStreetMap,osm/node/13378805700
Sunglass Hut,optician,,,,Nova Scotia,,,,46.0956484,-64.7612317,OpenStreetMap,osm/node/5138813121
VisionCare Optometry Centre,optician,,,,Nova Scotia,,,,45.0919528,-64.36216,OpenStreetMap,osm/way/281970693
Vogue Optical,optician,,,,Nova Scotia,,,,45.310787,-66.0143152,OpenStreetMap,osm/node/1894640146
Vogue Optical,optician,,,,Nova Scotia,,https://www.vogueoptical.com/,,45.5183771,-65.8333249,OpenStreetMap,osm/node/4389829327
Vogue Optical,optician,15 Vestiaire Street,,E4P 2B1,Nova Scotia,,,,46.2190331,-64.5455884,OpenStreetMap,osm/node/5030566741
Vogue Optical,optician,,,,Nova Scotia,,,,45.7231757,-65.5065646,OpenStreetMap,osm/node/6796952374
Vogue Optical,optician,,,,Nova Scotia,,,,47.032267,-65.4902688,OpenStreetMap,osm/node/7167992465
Vogue Optical,optician,3045 Robie Street,,,Nova Scotia,,,,44.6592536,-63.6005993,OpenStreetMap,osm/node/9416778101
